"VideoURL";"Speaker";"AvailableSubtitlesCount";"Duraton";"TimeFilmed";"TalkViewsCount";"TalkCommentsCount"
"https://www.ted.com/talks/chieko_asakawa_how_new_technology_helps_blind_people_explore_the_world";"Chieko Asakawa";"36";" 9:29";"Oct 2015";"1,173,308";"46"
"https://www.ted.com/talks/chimamanda_ngozi_adichie_we_should_all_be_feminists";"Chimamanda Ngozi Adichie";"5";"29:28";"Dec 2012";"848,070";"50"
"https://www.ted.com/talks/curtis_wall_street_carroll_how_i_learned_to_read_and_trade_stocks_in_prison";"Curtis \"Wall Street\" Carroll";"5";"11:03";"Jan 2016";"906,987";"52"
"https://www.ted.com/talks/dalia_mogahed_what_do_you_think_when_you_look_at_me";"Dalia Mogahed";"30";"16:16";"Feb 2016";"2,293,556";"421"
"https://www.ted.com/talks/dambisa_moyo_economic_growth_has_stalled_let_s_fix_it";"Dambisa Moyo";"20";"14:04";"Dec 2015";"1,414,012";"168"
"https://www.ted.com/talks/dan_bell_inside_america_s_dead_shopping_malls";"Dan Bell";"1";"11:53";"Oct 2016";"1,174,413";"36"
"https://www.ted.com/talks/dan_gilbert_asks_why_are_we_happy";"Dan Gilbert";"43";"21:16";"Feb 2004";"14,251,960";"965"
"https://www.ted.com/talks/danny_dorling_maps_that_show_us_who_we_are_not_just_where_we_are";"Danny Dorling";"23";"14:07";"Apr 2016";"1,319,110";"43"
"https://www.ted.com/talks/david_casarett_a_doctor_s_case_for_medical_marijuana";"David Casarett";"6";"15:07";"Nov 2016";"732,640";"28"
"https://www.ted.com/talks/david_gruber_glow_in_the_dark_sharks_and_other_stunning_sea_creatures";"David Gruber";"21";"13:54";"Oct 2015";"1,817,244";"19"
"https://www.ted.com/talks/david_r_williams_how_racism_makes_us_sick";"David R. Williams";"9";"17:27";"Nov 2016";"671,040";"45"
"https://www.ted.com/talks/david_sedlak_4_ways_we_can_avoid_a_catastrophic_drought";"David Sedlak";"20";"13:37";"Sep 2015";"998,259";"41"
"https://www.ted.com/talks/deborah_lipstadt_behind_the_lies_of_holocaust_denial";"Deborah Lipstadt";"6";"15:30";"Apr 2017";"379,876";"77"
"https://www.ted.com/talks/dena_simmons_how_students_of_color_confront_impostor_syndrome";"Dena Simmons";"13";"10:20";"Nov 2015";"932,305";"52"
"https://www.ted.com/talks/dorothy_roberts_the_problem_with_race_based_medicine";"Dorothy Roberts";"20";"14:36";"Nov 2015";"980,882";"112"
"https://www.ted.com/talks/edward_burtynsky_on_manufactured_landscapes";"Edward Burtynsky";"22";"34:25";"Feb 2005";"927,118";"57"
"https://www.ted.com/talks/elizabeth_lesser_say_your_truths_and_seek_them_in_others";"Elizabeth Lesser";"21";"15:44";"Oct 2016";"1,184,736";"38"
"https://www.ted.com/talks/elizabeth_lev_the_unheard_story_of_the_sistine_chapel";"Elizabeth Lev";"23";"17:33";"Dec 2015";"1,437,226";"44"
"https://www.ted.com/talks/elon_musk_the_future_we_re_building_and_boring";"Elon Musk";"7";"40:50";"Apr 2017";"3,280,664";"220"
"https://www.ted.com/talks/emtithal_mahmoud_a_young_poet_tells_the_story_of_darfur";"Emtithal Mahmoud";"7";"10:51";"Nov 2016";"564,625";"10"
"https://www.ted.com/talks/eva_vertes_looks_to_the_future_of_medicine";"Eva Vertes";"26";"18:49";"Feb 2005";"1,016,651";"211"
"https://www.ted.com/talks/eve_ensler_on_happiness_in_body_and_soul";"Eve Ensler";"23";"20:25";"Feb 2004";"1,101,199";"117"
"https://www.ted.com/talks/fawn_qiu_easy_diy_projects_for_kid_engineers";"Fawn Qiu";"33";" 7:03";"Jul 2016";"1,004,197";"16"
"https://www.ted.com/talks/giorgia_lupi_how_we_can_find_ourselves_in_data";"Giorgia Lupi";"11";"11:13";"Mar 2017";"738,075";"30"
"https://www.ted.com/talks/grady_booch_don_t_fear_superintelligence";"Grady Booch";"19";"10:20";"Nov 2016";"1,180,389";"268"
"https://www.ted.com/talks/gregory_heyworth_how_i_m_discovering_the_secrets_of_ancient_texts";"Gregory Heyworth";"25";"12:07";"Oct 2015";"748,165";"35"
"https://www.ted.com/talks/gretchen_carlson_david_brooks_political_common_ground_in_a_polarized_united_states";"Gretchen Carlson

David Brooks

Chris Anderson

Vy Higginsen's Gospel Choir";"2";"47:33";"Mar 2017";"630,592";"44"
"https://www.ted.com/talks/guillaume_nery_the_exhilarating_peace_of_freediving";"Guillaume Néry";"18";"19:10";"Mar 2013";"826,369";"36"
"https://www.ted.com/talks/halla_tomasdottir_it_s_time_for_women_to_run_for_office";"Halla Tómasdóttir";"20";"19:18";"Oct 2016";"847,958";"89"
"https://www.ted.com/talks/harry_cliff_have_we_reached_the_end_of_physics";"Harry Cliff";"26";"13:57";"Dec 2015";"2,231,882";"163"
"https://www.ted.com/talks/hector_garcia_we_train_soldiers_for_war_let_s_train_them_to_come_home_too";"Hector Garcia";"23";"10:31";"Nov 2015";"968,008";"57"
"https://www.ted.com/talks/helen_fisher_tells_us_why_we_love_cheat";"Helen Fisher";"33";"23:27";"Feb 2006";"9,028,103";"550"
"https://www.ted.com/talks/iqbal_quadir_says_mobiles_fight_poverty";"Iqbal Quadir";"21";"15:52";"Jul 2005";"492,845";"73"
"https://www.ted.com/talks/jacqueline_novogratz_invests_in_ending_poverty";"Jacqueline Novogratz";"26";"12:53";"Jul 2005";"679,160";"57"
